,cleaned_name,comment,datapoint_type,filename,line_number,name,params,return_param_comment,type
207,scale. point label size i,adjust point position for label height,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.radialLinear.js,270,scale._pointLabelSizes.i,,,
208,point label position,adjust point position for label height,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.radialLinear.js,270,pointLabelPosition,,,
209,ctx,fill text,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.radialLinear.js,271,ctx,,,
210,,fill text,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.radialLinear.js,271,,,,None
211,point label position,fill text,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.radialLinear.js,271,pointLabelPosition,,,
212,pl font line height,fill text,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.radialLinear.js,271,plFont.lineHeight,,,
213,scale,get value count,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.radialLinear.js,280,scale,,,
214,export,round rect,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/helpers/helpers.canvas.js,239,exports,,,
215,argument,round rect,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/helpers/helpers.canvas.js,239,arguments,,,
216,loopable,be array,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/helpers/helpers.core.js,116,loopable,,,
217,loopable,be object,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/helpers/helpers.core.js,127,loopable,,,
