,cleaned_name,comment,datapoint_type,filename,line_number,name,params,return_param_comment,type
78,priority for source,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1200,priorityForSource,,,
79,emit change event,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1211,emitChangeEvent,,,
80,reset scoped setting,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1215,resetScopedSettings,,,
81,set raw scoped value,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1231,setRawScopedValue,,,
82,get raw scoped value,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1244,getRawScopedValue,,,
83,observe scoped key path,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1264,observeScopedKeyPath,,,
84,on do change scoped key path,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1269,onDidChangeScopedKeyPath,,,
85,coerce,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1292,coerce,,,
86,coerce,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1298,coerce,,,
87,coerce,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1306,coerce,,,
88,coerce,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1314,coerce,,,
89,validate,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1333,validate,,,
90,validate maximum length,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1340,validateMaximumLength,,,
91,coerce,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1351,coerce,,,
92,coerce,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1358,coerce,,,
93,coerce,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1394,coerce,,,
94,coerce,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1414,coerce,,,
95,coerce minimum and maximum,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1424,coerceMinimumAndMaximum,,,
96,validate enum,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1435,validateEnum,,,
97,be plain object,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1456,isPlainObject,,,
98,sort object,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1458,sortObject,,,
99,without empty object,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1467,withoutEmptyObjects,,,
100,should compile,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/typescript.js,16,shouldCompile,,,
101,get cache path,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/typescript.js,20,getCachePath,,,
102,compile,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/typescript.js,35,compile,,,
103,create version and option digest,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/typescript.js,48,createVersionAndOptionsDigest,,,
104,export,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/initialize-benchmark-window.js,6,exports,,,
105,get,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/initialize-benchmark-window.js,24,get,,,
106,set,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/initialize-benchmark-window.js,25,set,,,
107,view for item,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/initialize-benchmark-window.js,55,viewForItem,,,
108,send to browser process,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/initialize-benchmark-window.js,70,sendToBrowserProcess,,,
109,log,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/initialize-benchmark-window.js,78,log,,,
110,warn,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/initialize-benchmark-window.js,82,warn,,,
111,error,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/initialize-benchmark-window.js,86,error,,,
112,exit with status code,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/initialize-benchmark-window.js,110,exitWithStatusCode,,,
113,reopen project command,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/reopen-project-menu-manager.js,25,reopenProjectCommand,,,
114,create reopen project list view,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/reopen-project-menu-manager.js,33,createReopenProjectListView,,,
115,update,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/reopen-project-menu-manager.js,45,update,,,
116,task description,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/reopen-project-menu-manager.js,53,taskDescription,,,
117,apply windows jump list removal,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/reopen-project-menu-manager.js,60,applyWindowsJumpListRemovals,,,
118,update window jump list,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/reopen-project-menu-manager.js,75,updateWindowsJumpList,,,
