,cleaned_name,comment,datapoint_type,filename,line_number,name,params,return_param_comment,type
139,,reload,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config-file.js,53,,,,number
140,,remove buffer,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/project.js,765,,,,None
141,,set path,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/project.js,768,,,,None
142,,schedule update,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,2005,,,,boolean
143,row,render screen line for row,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,2263,row,,,
144,line node,measure horizontal position on line,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,2289,lineNode,,,
145,text node,measure horizontal position on line,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,2289,textNodes,,,
146,column to measure,measure horizontal position on line,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,2289,columnsToMeasure,,,
147,position for line,measure horizontal position on line,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,2289,positionsForLine,,,
148,hook,activate now,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package.js,895,hook,,,
149,,activate now,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package.js,895,,,,None
150,decoration,add block decoration,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,2538,decoration,,,
151,,add block decoration,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,2538,,,,boolean
152,module path,be native module,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package.js,954,modulePath,,,
153,,get build failure output storage key,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package.js,1001,,,,None
154,,get build failure output storage key,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package.js,1004,,,,None
155,result stderr,get build failure output storage key,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package.js,1004,result.stderr,,,
156,,get incompatible native module storage key,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package.js,1006,,,,None
157,,get incompatible native module storage key,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package.js,1006,,,,string
158,buffer,auto assign language mode,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/grammar-registry.js,93,buffer,,,
159,download state,set state,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/auto-update-manager.js,56,DownloadingState,,,
160,,emit window event,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/auto-update-manager.js,61,,,,string
161,option,expand over line,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/selection.js,226,options,,,
162,option,expand over word,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/selection.js,228,options,,,
163,,subscribe to buffer,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/git-repository.js,106,,,,None
164,file path,get package transpiler spec for file path,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package-transpilation-registry.js,56,filePath,,,
165,source code,transpile with package transpiler,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package-transpilation-registry.js,58,sourceCode,,,
166,file path,transpile with package transpiler,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package-transpilation-registry.js,58,filePath,,,
167,spec,transpile with package transpiler,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package-transpilation-registry.js,58,spec,,,
168,,constructor,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package.js,1114,,,,object
169,,constructor,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package.js,1114,,,,None
170,gutter,render line number gutter,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,3115,gutter,,,
171,old decoration,array equal,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,3342,oldDecorations,,,
172,new decoration,array equal,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,3342,newDecorations,,,
173,,open path,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/atom-application.js,466,,,,None
174,,open url,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/atom-application.js,471,,,,None
175,old decoration,array equal,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,3901,oldDecorations,,,
176,new decoration,array equal,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,3901,newDecorations,,,
177,update available state,set state,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/auto-update-manager.js,67,UpdateAvailableState,,,
178,,get title,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor.js,585,,,,string
179,,get title,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor.js,585,,,,None
180,,get path,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor.js,586,,,,string
181,,get path,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor.js,586,,,,None
182,,update sync,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,273,,,,boolean
